"institution_id","institution_name","acronym","state_branch","institution_type","parent_institution_id","territorial_level","region_code","region_name","commune_code","commune_name","policy_area_primary","legal_status","source_id","verification_status","last_verified","notes"
"CL-SUB-HAC","Subsecretaría de Hacienda","","Poder Ejecutivo","Subsecretaría","CL-MIN-HAC","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-DEF","Subsecretaría de Defensa","","Poder Ejecutivo","Subsecretaría","CL-MIN-DEF","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-FFAA","Subsecretaría para las Fuerzas Armadas","","Poder Ejecutivo","Subsecretaría","CL-MIN-DEF","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-TRANS","Subsecretaría de Transportes","","Poder Ejecutivo","Subsecretaría","CL-MIN-MTT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SUBTEL","Subsecretaría de Telecomunicaciones","","Poder Ejecutivo","Subsecretaría","CL-MIN-MTT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-INT","Subsecretaría del Interior","","Poder Ejecutivo","Subsecretaría","CL-MIN-INT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SUBDERE","Subsecretaría de Desarrollo Regional y Administrativo","","Poder Ejecutivo","Subsecretaría","CL-MIN-INT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SALPUB","Subsecretaría de Salud Pública","","Poder Ejecutivo","Subsecretaría","CL-MIN-SAL","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-REDES","Subsecretaría de Redes Asistenciales","","Poder Ejecutivo","Subsecretaría","CL-MIN-SAL","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-AGR","Subsecretaría de Agricultura","","Poder Ejecutivo","Subsecretaría","CL-MIN-AGR","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-DEP","Subsecretaría del Deporte","","Poder Ejecutivo","Subsecretaría","CL-MIN-DEP","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SEGEGOB","Subsecretaría General de Gobierno","","Poder Ejecutivo","Subsecretaría","CL-MIN-SEGEGOB","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-MOP","Subsecretaría de Obras Públicas","","Poder Ejecutivo","Subsecretaría","CL-MIN-MOP","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-MMEG","Subsecretaría de la Mujer y la Equidad de Género","","Poder Ejecutivo","Subsecretaría","CL-MIN-MMEG","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-CTCI","Subsecretaría de Ciencia, Tecnología, Conocimiento e Innovación","","Poder Ejecutivo","Subsecretaría","CL-MIN-CTCI","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-MINVU","Subsecretaría de Vivienda y Urbanismo","","Poder Ejecutivo","Subsecretaría","CL-MIN-MINVU","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-TRAB","Subsecretaría del Trabajo","","Poder Ejecutivo","Subsecretaría","CL-MIN-MINTRAB","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-PREV","Subsecretaría de Previsión Social","","Poder Ejecutivo","Subsecretaría","CL-MIN-MINTRAB","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-MMA","Subsecretaría del Medio Ambiente","","Poder Ejecutivo","Subsecretaría","CL-MIN-MMA","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-ENER","Subsecretaría de Energía","","Poder Ejecutivo","Subsecretaría","CL-MIN-ENER","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SERSOC","Subsecretaría de Servicios Sociales","","Poder Ejecutivo","Subsecretaría","CL-MIN-MDSF","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-EVSOC","Subsecretaría de Evaluación Social","","Poder Ejecutivo","Subsecretaría","CL-MIN-MDSF","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-NINEZ","Subsecretaría de la Niñez","","Poder Ejecutivo","Subsecretaría","CL-MIN-MDSF","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SEGPRES","Subsecretaría General de la Presidencia","","Poder Ejecutivo","Subsecretaría","CL-MIN-SEGPRES","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-JUST","Subsecretaría de Justicia","","Poder Ejecutivo","Subsecretaría","CL-MIN-JUST","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-DDHH","Subsecretaría de Derechos Humanos","","Poder Ejecutivo","Subsecretaría","CL-MIN-JUST","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-RREE","Subsecretaría de Relaciones Exteriores","","Poder Ejecutivo","Subsecretaría","CL-MIN-RREE","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-SUBREI","Subsecretaría de Relaciones Económicas Internacionales","","Poder Ejecutivo","Subsecretaría","CL-MIN-RREE","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-CULT","Subsecretaría de las Culturas y las Artes","","Poder Ejecutivo","Subsecretaría","CL-MIN-CULT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-PATR","Subsecretaría del Patrimonio Cultural","","Poder Ejecutivo","Subsecretaría","CL-MIN-CULT","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-BBNN","Subsecretaría de Bienes Nacionales","","Poder Ejecutivo","Subsecretaría","CL-MIN-BBNN","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-ECO","Subsecretaría de Economía y Empresas de Menor Tamaño","","Poder Ejecutivo","Subsecretaría","CL-MIN-ECO","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-PESCA","Subsecretaría de Pesca y Acuicultura","","Poder Ejecutivo","Subsecretaría","CL-MIN-ECO","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-TUR","Subsecretaría de Turismo","","Poder Ejecutivo","Subsecretaría","CL-MIN-ECO","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-EDU","Subsecretaría de Educación","","Poder Ejecutivo","Subsecretaría","CL-MIN-EDU","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-PARV","Subsecretaría de Educación Parvularia","","Poder Ejecutivo","Subsecretaría","CL-MIN-EDU","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-EDUSUP","Subsecretaría de Educación Superior","","Poder Ejecutivo","Subsecretaría","CL-MIN-EDU","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SUB-MINERIA","Subsecretaría de Minería","","Poder Ejecutivo","Subsecretaría","CL-MIN-MINERIA","Nacional","","","","","","Subsecretaría","SRC-GOB-MIN","ministerial_structure_v0_1","2026-09-19","Estructura separada de la capa de servicios públicos."
"CL-SP-001","Servicio Nacional de Reinserción Social Juvenil","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-002","Carabineros de Chile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-003","Dirección de Aeropuertos","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-004","Dirección de Arquitectura","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-005","Dirección General de Obras Públicas","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-006","Agencia de Promoción de la Inversión Extranjera","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-007","Gendarmería de Chile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-008","Servicio Nacional de Protección especializada a la Niñez y Adolescencia - Mejor Niñez","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-009","Dirección de Previsión de Carabineros de Chile (DIPRECA)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-010","Agencia Nacional de Inteligencia (ANI)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-011","Servicio de Gobierno Interior","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-012","Servicio Nacional para la Prevención y Rehabilitación del Consumo de Drogas y Alcohol","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-013","Policía de Investigaciones","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-014","Dirección General de Relaciones Económicas Internacionales (DIRECON)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-015","Agencia de Cooperación Internacional (AGCI)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-016","Instituto Antártico Chileno (INACH)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-017","Dirección Nacional de Fronteras y Límites del Estado (DIFROL)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-018","Instituto Geográfico Militar (IGM)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-019","Dirección General de Aeronáutica Civil (DGAC)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-020","Dirección General de Movilización Nacional (DGMN)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-021","Fuerza Aérea de Chile (FACH)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-022","Ejército de Chile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-023","Defensa Civil de Chile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-024","Estado Mayor Conjunto","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-025","Servicio Aerofotogramétrico FACH","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-026","Dirección General del Territorio Marítimo y Marina Mercante (DIRECTEMAR)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-027","Armada de Chile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-028","Servicio Hidrográfico y Oceanográfico de la Armada","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-029","Tesorería General de la República","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-030","Dirección Nacional del Servicio Civil","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-031","Servicio Nacional de Aduanas","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-032","Superintendencia de Casinos de Juego (SCJ)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-033","Servicio de Impuestos Internos (SII)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-034","Dirección de Compras y Contratación Pública (Chilecompra)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
