"chamber","commission_number","institution_id","commission_name","commission_class","parent_institution_id","source_url","last_verified","note"
"Cámara de Diputadas y Diputados","1","CL-CAM-COM-01","Comisión de Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","13","CL-CAM-COM-13","Comisión de Economía, Fomento; Micro, Pequeña y Mediana Empresa; Protección de los Consumidores y Turismo","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","14","CL-CAM-COM-14","Comisión de Vivienda, Desarrollo Urbano y Bienes Nacionales","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","15","CL-CAM-COM-15","Comisión de Derechos Humanos y Pueblos Originarios","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","16","CL-CAM-COM-16","Comisión de la Familia","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","17","CL-CAM-COM-17","Comisión de Futuro, Ciencias, Tecnología, Conocimiento e Innovación","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","18","CL-CAM-COM-18","Comisión de Pesca, Acuicultura e Intereses Marítimos","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","19","CL-CAM-COM-19","Comisión de Deportes y Recreación","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","20","CL-CAM-COM-20","Comisión de Zonas Extremas y Antártica Chilena","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","21","CL-CAM-COM-21","Comisión de Seguridad Ciudadana","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","22","CL-CAM-COM-22","Comisión de Cultura, Artes y Comunicaciones","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","23","CL-CAM-COM-23","Comisión de Desarrollo Social, Superación de la Pobreza y Planificación","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","24","CL-CAM-COM-24","Comisión de Recursos Hídricos y Desertificación","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","25","CL-CAM-COM-25","Comisión de Emergencia, Desastres y Bomberos","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","26","CL-CAM-COM-26","Comisión de Mujeres y Equidad de Género","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","27","CL-CAM-COM-27","Comisión de Personas Mayores y Discapacidad","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","28","CL-CAM-COM-28","Comisión de Control del Sistema de Inteligencia del Estado","legislativa","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","29","CL-CAM-COM-29","Comisión de Subcomisión de Reglamento","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","30","CL-CAM-COM-30","Comisión de Subcomisión de Crimen Organizado","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","31","CL-CAM-COM-31","Comisión de Revisora de Cuentas","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","32","CL-CAM-COM-32","Comisión de Ética y Transparencia","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","33","CL-CAM-COM-33","Comisión de Régimen Interno y Administración","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Cámara de Diputadas y Diputados","34","CL-CAM-COM-34","Comisión de Subcomisión de Régimen Interno en materia de Comunicaciones","interna/subcomisión listada","CL-CAM","https://www.camara.cl/legislacion/comisiones/comisiones_permanentes.aspx","2026-09-19","La página operativa vigente lista 34 entradas; la FAQ institucional aún menciona 27, discrepancia documentada."
"Senado","1","CL-SEN-COM-01","Comisión de Gobierno, Descentralización y Regionalización","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","2","CL-SEN-COM-02","Comisión de Relaciones Exteriores","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","3","CL-SEN-COM-03","Comisión de Constitución, Legislación, Justicia y Reglamento","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","4","CL-SEN-COM-04","Comisión de Economía","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","5","CL-SEN-COM-05","Comisión de Hacienda","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","6","CL-SEN-COM-06","Comisión de Educación","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","7","CL-SEN-COM-07","Comisión de Defensa Nacional","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","8","CL-SEN-COM-08","Comisión de Obras Públicas","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","9","CL-SEN-COM-09","Comisión de Agricultura","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","10","CL-SEN-COM-10","Comisión de Medio Ambiente, Cambio Climático y Bienes Nacionales","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","11","CL-SEN-COM-11","Comisión de Trabajo y Previsión Social","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","12","CL-SEN-COM-12","Comisión de Salud","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","13","CL-SEN-COM-13","Comisión de Minería y Energía","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","14","CL-SEN-COM-14","Comisión de Vivienda y Urbanismo","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","15","CL-SEN-COM-15","Comisión de Transportes y Telecomunicaciones","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","16","CL-SEN-COM-16","Comisión de Derechos Humanos, Nacionalidad y Ciudadanía","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","17","CL-SEN-COM-17","Comisión de Intereses Marítimos, Pesca y Acuicultura","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","18","CL-SEN-COM-18","Comisión de Desafíos del Futuro, Ciencia, Tecnología e Innovación","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","19","CL-SEN-COM-19","Comisión de Seguridad Pública","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","20","CL-SEN-COM-20","Comisión de Recursos Hídricos, Desertificación y Sequía","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","21","CL-SEN-COM-21","Comisión de Mujer y Equidad de Género","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","22","CL-SEN-COM-22","Comisión de Adulto Mayor y Discapacidad","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","23","CL-SEN-COM-23","Comisión de Cultura, Patrimonio, Artes, Deportes y Recreación","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
"Senado","24","CL-SEN-COM-24","Comisión de Familia, Infancia y Adolescencia","legislativa permanente","CL-SEN","https://www.senado.cl/actividad-legislativa/comisiones","2026-09-19","Subconjunto de 24 comisiones legislativas permanentes informado por el Senado; excluye Régimen Interior, Revisora de Cuentas, Ética y Transparencia y Especial Mixta de Presupuestos."
